rule,wolfram_class,g_entropy_mean,g_entropy_std,g_corr_length_mean,g_temporal_acf_mean,g_compressibility_mean
143,0,0.2360668163273192,0.14768069134300507,1.54,1.0,0.3045544554455446
144,0,0.6933239951071899,0.06149921370198082,1.0,1.0,0.4392079207920792
145,0,0.9126582608667296,0.008599067260799982,1.0,0.4353946465228238,0.3807920792079208
146,3,0.9859724878770284,0.0032126814468261826,1.94,0.059179212652763116,0.45603960396039606
147,4,0.8684996444402912,0.1144651391218254,3.72,0.19661230745248812,0.40554455445544546
148,0,0.8189464464513267,0.043765202332438434,1.0,0.8401999999999998,0.43128712871287134
149,3,0.9891043043175801,0.0014696020302876309,1.1,0.057573127082127626,0.5281188118811881
150,3,0.0,0.0,0.0,1.0,0.2376237623762376
151,0,0.9614305445497555,0.005134804211054261,1.76,0.06287600526328277,0.47504950495049497
152,2,0.957934153500723,0.03501156839979905,1.12,1.0,0.442970297029703
153,3,0.0,0.0,0.0,1.0,0.2376237623762376
154,2,0.989433134871552,0.00818545600633492,1.04,0.34644053323608526,0.5283168316831683
155,0,0.8816342849567641,0.0283589713240964,1.0,0.8334,0.4843564356435644
156,2,0.7937896148680545,0.08078697940955239,1.38,0.8334,0.44811881188118813
157,0,0.7731269006674627,0.07160213018508742,1.94,0.83,0.4427722772277227
158,0,0.9908231302535089,0.00879931561385143,1.02,0.8435999999999999,0.44990099009900997
159,0,0.8602644976738988,0.0400826072781018,1.0,0.8334,0.45168316831683164
160,1,0.0,0.0,0.0,1.0,0.2376237623762376
161,3,0.8174984367571655,0.006672151303371477,1.0,0.05859131883532046,0.4528712871287129
162,2,0.6467361228907389,0.0526448520604797,1.0,1.0,0.4279207920792079
163,0,0.8028638321511916,0.05120449104285596,1.0,1.0,0.36930693069306925
164,2,0.6524918135149045,0.10590825800259096,1.98,1.0,0.3946534653465346
165,3,0.0,0.0,0.0,1.0,0.2376237623762376
166,0,0.9891185870157385,0.007116443489178375,1.08,0.37923817183994535,0.5227722772277229
167,0,0.8127660283039054,0.030455749999933328,1.0,0.47939381818077687,0.4734653465346534
168,1,0.0,0.0,0.0,1.0,0.2376237623762376
169,3,0.9893677220549408,0.00237751742492525,1.04,0.07577384986472518,0.5207920792079208
170,2,0.0,0.0,0.0,1.0,0.2376237623762376
171,0,0.5112192858267453,0.15517523390959695,1.84,1.0,0.3714851485148515
172,2,0.5866837611403739,0.07758860004777139,1.0,1.0,0.41960396039603964
173,0,0.977376812707972,0.024516348405726623,1.0,0.8605999999999997,0.4980198019801981
174,0,0.6900687157061747,0.07944274025158998,1.0,1.0,0.4398019801980198
175,0,0.9488501614249527,0.0346448069448594,1.0,1.0,0.48435643564356434
176,0,0.6607674837616195,0.04661788814765939,1.0,1.0,0.425940594059406
177,0,0.813975894292016,0.05152273871871392,1.0,1.0,0.36475247524752474
178,2,0.9745901736854212,0.03216780730013667,2.16,1.0,0.4467326732673268
179,0,0.981142754542823,0.024291590044638926,2.1,1.0,0.45663366336633665
180,0,0.9878924340281696,0.009734173803665007,1.04,0.37859451183998116,0.5223762376237624
181,3,0.8157848927387983,0.02490751059651183,1.0,0.5239980122582224,0.4768316831683169
182,3,0.985733449288863,0.0026792490286524145,1.92,0.058687071566027045,0.46118811881188115
183,3,0.8153500642889903,0.005883158956971757,1.0,0.06448065383317876,0.4681188118811881
184,2,0.3117331140276023,0.1747868282916147,1.0,1.0,0.32772277227722774
185,0,0.6957177635796331,0.1525155110527365,2.12,1.0,0.39227722772277235
186,0,0.40224593296366207,0.0723824312687708,1.0,1.0,0.3702970297029704
187,0,0.8561808532574331,0.08704977352683839,1.6,1.0,0.4588118811881188
188,0,0.9043054306351691,0.034430419331432205,1.0,1.0,0.4572277227722772
