rule,polynomial,degree_profile,algebraic_degree,n_monomials,support_indices
153,1 ⊕ C ⊕ R,"(1,2,0,0)",1,3,0|2|4
154,L ⊕ LC ⊕ R,"(0,2,1,0)",2,3,1|3|4
155,1 ⊕ C ⊕ LR ⊕ CR ⊕ LCR,"(1,1,2,1)",3,5,0|2|5|6|7
156,L ⊕ C ⊕ LR,"(0,2,1,0)",2,3,1|2|5
157,1 ⊕ LC ⊕ R ⊕ CR ⊕ LCR,"(1,1,2,1)",3,5,0|3|4|6|7
158,L ⊕ C ⊕ R ⊕ CR ⊕ LCR,"(0,3,1,1)",3,5,1|2|4|6|7
159,1 ⊕ LC ⊕ LR,"(1,0,2,0)",2,3,0|3|5
160,LR,"(0,0,1,0)",2,1,5
161,1 ⊕ L ⊕ C ⊕ LC ⊕ R ⊕ CR ⊕ LCR,"(1,3,2,1)",3,7,0|1|2|3|4|6|7
162,R ⊕ CR ⊕ LCR,"(0,1,1,1)",3,3,4|6|7
163,1 ⊕ L ⊕ C ⊕ LC ⊕ LR,"(1,2,2,0)",2,5,0|1|2|3|5
164,C ⊕ LC ⊕ LR ⊕ CR ⊕ LCR,"(0,1,3,1)",3,5,2|3|5|6|7
165,1 ⊕ L ⊕ R,"(1,2,0,0)",1,3,0|1|4
166,C ⊕ LC ⊕ R,"(0,2,1,0)",2,3,2|3|4
167,1 ⊕ L ⊕ LR ⊕ CR ⊕ LCR,"(1,1,2,1)",3,5,0|1|5|6|7
168,LR ⊕ CR ⊕ LCR,"(0,0,2,1)",3,3,5|6|7
169,1 ⊕ L ⊕ C ⊕ LC ⊕ R,"(1,3,1,0)",2,5,0|1|2|3|4
170,R,"(0,1,0,0)",1,1,4
171,1 ⊕ L ⊕ C ⊕ LC ⊕ LR ⊕ CR ⊕ LCR,"(1,2,3,1)",3,7,0|1|2|3|5|6|7
