rule,t_start,duration,speed,start_position,end_position
110,487,10,0.2778,127.0,129.5
110,473,26,-0.76,29.0,10.0
110,388,112,0.482,57.0,110.5
110,411,89,0.6534,49.0,106.5
110,418,82,0.4938,49.0,89.0
110,421,79,0.6667,51.0,103.0
110,425,75,0.6419,49.0,96.5
110,429,71,0.65,47.0,92.5
110,430,70,0.6159,40.0,82.5
110,439,61,0.4417,182.0,7.5
110,441,59,0.6466,41.0,78.5
110,442,58,0.4737,184.0,10.0
110,448,52,0.3922,41.0,61.0
110,451,49,0.6667,43.0,75.0
110,451,49,0.5938,173.0,0.5
110,455,45,0.625,41.0,68.5
110,459,41,0.6375,39.0,64.5
110,460,40,0.5769,32.0,54.5
110,462,38,0.6351,174.0,197.5
110,469,31,0.2,174.0,180.0
110,471,29,0.625,33.0,50.5
110,472,28,0.6667,176.0,194.0
110,476,24,0.587,174.0,187.5
110,480,20,-0.1316,151.0,148.5
110,480,20,0.6053,172.0,183.5
110,481,19,0.6667,35.0,47.0
110,481,19,0.4722,165.0,173.5
110,484,16,-0.5,160.0,152.5
110,488,12,-0.5909,35.0,28.5
110,489,11,-0.55,164.0,158.5
110,490,10,-0.3889,122.0,118.5
110,491,9,0.4375,37.0,40.5
110,492,8,-0.5714,118.0,114.0
110,492,8,0.4286,142.0,145.0
110,492,8,0.5,166.0,169.5
