rule,variant,entropy_mean,entropy_std,corr_length_mean,corr_length_std
108,"[E,[E,D]]",0.02337598674365066,0.040104506342658525,0.26666666666666666,0.4422166387140533
108,"{E,D}",0.32759818372082716,0.11118164819991454,1.0,0.0
110,"[E,D]",0.9382131761126876,0.0038023539451222748,1.0,0.0
110,"[E,D₂]",0.9947315981684095,0.0020136825024885804,1.0,0.0
110,"[E²,D]",0.9962628878620443,0.0013439918755320053,1.0,0.0
110,"[E³,D]",0.8784481164916301,0.028377352567892835,1.0002222222222223,0.001196703290474322
110,"[E⁴,D]",0.9730572815962109,0.014490776737293702,1.0,0.0
110,"[E,[E,D]]",0.9104774311550294,0.011317946498676897,1.0,0.0
110,"{E,D}",0.9344929781082619,0.004101154876472053,1.0,0.0
122,"[E,D]",0.5734654893261875,0.0129091038745179,1.0002222222222223,0.0011967032904743218
