rule,wolfram_class,best_affine,perturbation_magnitude,perturbation_weight,perturbation_coherence,is_affine,g_entropy,g_entropy_std,g_corr_length
204,2,C,0,0.0,0.0,True,0.0,0.0,0.0
205,0,C,1,0.125,0.8571428571428572,False,0.0,0.0,0.0
206,0,C,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
207,0,1,2,0.25,0.7142857142857143,False,0.0,0.0,0.0
208,0,L,1,0.125,0.7142857142857143,False,0.5620534919825385,0.12123598835236934,1.0
209,0,L,2,0.25,0.5714285714285714,False,0.9762750269246957,0.024591852793862327,1.0
210,0,L,2,0.25,0.4285714285714286,False,0.9480943082305426,0.013916430655062808,1.0
211,0,1^L^C,1,0.125,0.7142857142857143,False,0.9187553011080245,0.03075017538682656,1.0
212,0,L,2,0.25,0.4285714285714286,False,0.3567511576080057,0.2077091152101426,2.2
213,0,1^R,1,0.125,0.8571428571428572,False,0.2254423975765534,0.23997427887984352,0.7
214,0,L^C^R,1,0.125,0.7142857142857143,False,0.8048178070249319,0.06655438911932793,1.2
215,0,1,2,0.25,0.4285714285714286,False,0.9343516346814921,0.0341491639251734,1.0
216,0,L,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
217,0,1^C^R,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
218,0,L^R,1,0.125,0.8571428571428572,False,0.0,0.0,0.0
219,0,1,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
220,0,C,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
221,0,1,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
222,0,1,2,0.25,0.5714285714285714,False,0.0,0.0,0.0
223,1,1,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
224,0,L,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
225,0,L,2,0.25,0.5714285714285714,False,0.9367958836793606,0.011944840789652751,1.9
226,0,L,2,0.25,0.4285714285714286,False,0.285048391123011,0.16563462696053236,1.0
227,0,1^L^C,1,0.125,0.7142857142857143,False,0.6985109327686926,0.1516857926810918,2.066666666666667
228,0,L,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
229,0,1^L^R,1,0.125,0.7142857142857143,False,0.8660619151278532,0.08824701421053513,1.5666666666666667
230,0,C^R,1,0.125,0.8571428571428572,False,0.9118391264870997,0.03268434736232904,1.0
231,0,1,2,0.25,0.7142857142857143,False,0.9776255097832763,0.02480397470424348,1.8
232,2,L,2,0.25,0.7142857142857143,False,0.0,0.0,0.0
233,0,1^L^C^R,1,0.125,0.8571428571428572,False,0.0,0.0,0.0
234,0,R,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
235,0,1,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
